file_name,start_frame,duration_frame
10_kieks_0_103_103,0,293
10_kieks_0_103_103,293,352
10_kieks_0_103_103,644,360
10_kieks_0_103_103,1004,317
10_kieks_0_103_103,1321,326
10_kieks_0_103_103,1647,273
10_kieks_0_111_111,0,317
10_kieks_0_111_111,317,294
10_kieks_0_111_111,610,284
10_kieks_0_111_111,894,224
10_kieks_0_111_111,1118,330
10_kieks_0_111_111,1448,322
10_kieks_0_1_1,0,268
10_kieks_0_1_1,268,266
10_kieks_0_1_1,534,304
10_kieks_0_1_1,838,353
10_kieks_0_1_1,1191,340
10_kieks_0_1_1,1530,307
10_kieks_0_2_2,0,327
10_kieks_0_2_2,327,334
10_kieks_0_2_2,661,359
10_kieks_0_2_2,1020,315
10_kieks_0_2_2,1335,351
10_kieks_0_2_2,1687,340
10_kieks_0_3_3,0,310
10_kieks_0_3_3,310,276
10_kieks_0_3_3,585,314
10_kieks_0_3_3,900,354
10_kieks_0_3_3,1254,309
10_kieks_0_3_3,1563,297
10_kieks_0_4_4,0,317
10_kieks_0_4_4,317,318
10_kieks_0_4_4,634,292
10_kieks_0_4_4,927,268
10_kieks_0_4_4,1195,360
10_kieks_0_4_4,1555,358
10_kieks_0_5_5,0,308
10_kieks_0_5_5,308,322
10_kieks_0_5_5,630,315
10_kieks_0_5_5,945,325
10_kieks_0_5_5,1270,329
10_kieks_0_5_5,1599,350
10_kieks_0_65_65,0,360
10_kieks_0_65_65,360,359
10_kieks_0_65_65,719,360
10_kieks_0_65_65,1112,269
10_kieks_0_6_6,0,316
10_kieks_0_6_6,316,316
10_kieks_0_6_6,632,311
10_kieks_0_6_6,943,360
10_kieks_0_6_6,1303,352
10_kieks_0_6_6,1654,360
10_kieks_0_73_73,0,250
10_kieks_0_73_73,250,340
10_kieks_0_73_73,590,342
10_kieks_0_73_73,932,329
10_kieks_0_73_73,1261,239
10_kieks_0_7_7,0,242
10_kieks_0_7_7,242,327
10_kieks_0_7_7,569,256
10_kieks_0_7_7,826,356
10_kieks_0_7_7,1181,306
10_kieks_0_7_7,1488,252
10_kieks_0_81_81,0,330
10_kieks_0_81_81,330,307
10_kieks_0_81_81,638,305
10_kieks_0_81_81,943,331
10_kieks_0_81_81,1274,310
10_kieks_0_87_87,0,326
10_kieks_0_87_87,326,306
10_kieks_0_87_87,633,290
10_kieks_0_87_87,922,289
10_kieks_0_87_87,1211,347
10_kieks_0_87_87,1558,342
10_kieks_0_87_87,1900,320
10_kieks_0_8_8,0,350
10_kieks_0_8_8,350,272
10_kieks_0_8_8,621,343
10_kieks_0_8_8,964,240
10_kieks_0_8_8,1204,355
10_kieks_0_8_8,1559,337
10_kieks_0_95_95,0,317
10_kieks_0_95_95,317,328
10_kieks_0_95_95,645,246
10_kieks_0_95_95,891,250
10_kieks_0_95_95,1142,355
11_nidal_0_103_103,0,347
11_nidal_0_103_103,347,347
11_nidal_0_103_103,694,327
11_nidal_0_103_103,1021,305
11_nidal_0_103_103,1326,323
11_nidal_0_103_103,1649,360
11_nidal_0_103_103,2009,357
11_nidal_0_103_103,2366,340
11_nidal_0_103_103,2706,234
11_nidal_0_111_111,0,345
11_nidal_0_111_111,345,302
11_nidal_0_111_111,647,347
11_nidal_0_111_111,994,326
11_nidal_0_111_111,1320,358
11_nidal_0_111_111,1678,342
11_nidal_0_111_111,2020,311
11_nidal_0_111_111,2331,308
11_nidal_0_1_1,0,222
11_nidal_0_1_1,222,347
11_nidal_0_1_1,568,351
11_nidal_0_1_1,920,304
11_nidal_0_1_1,1224,350
11_nidal_0_1_1,1574,336
11_nidal_0_1_1,1909,285
11_nidal_0_2_2,0,328
11_nidal_0_2_2,328,309
11_nidal_0_2_2,638,359
11_nidal_0_2_2,996,312
11_nidal_0_2_2,1309,344
11_nidal_0_2_2,1653,314
11_nidal_0_2_2,1967,334
11_nidal_0_2_2,2301,298
11_nidal_0_3_3,0,254
11_nidal_0_3_3,254,356
11_nidal_0_3_3,610,335
11_nidal_0_3_3,945,359
11_nidal_0_3_3,1305,335
11_nidal_0_3_3,1640,344
11_nidal_0_3_3,1984,338
11_nidal_0_3_3,2322,348
11_nidal_0_4_4,0,327
11_nidal_0_4_4,327,321
11_nidal_0_4_4,648,350
11_nidal_0_4_4,998,354
11_nidal_0_4_4,1353,324
11_nidal_0_4_4,1677,321
11_nidal_0_4_4,1998,356
11_nidal_0_5_5,0,232
11_nidal_0_5_5,232,297
11_nidal_0_5_5,529,323
11_nidal_0_5_5,852,332
11_nidal_0_5_5,1185,312
11_nidal_0_5_5,1497,346
11_nidal_0_5_5,1844,347
11_nidal_0_5_5,2190,355
11_nidal_0_5_5,2546,326
11_nidal_0_5_5,2871,317
11_nidal_0_65_65,0,338
11_nidal_0_65_65,338,352
11_nidal_0_65_65,690,343
11_nidal_0_65_65,1033,346
11_nidal_0_65_65,1379,353
11_nidal_0_65_65,1732,354
11_nidal_0_65_65,2086,234
11_nidal_0_6_6,0,352
11_nidal_0_6_6,352,347
11_nidal_0_6_6,699,315
11_nidal_0_6_6,1014,312
11_nidal_0_6_6,1326,357
11_nidal_0_6_6,1683,352
11_nidal_0_6_6,2035,342
11_nidal_0_6_6,2378,333
11_nidal_0_73_73,0,297
11_nidal_0_73_73,297,352
11_nidal_0_73_73,649,322
11_nidal_0_73_73,971,339
11_nidal_0_73_73,1310,332
11_nidal_0_73_73,1642,352
11_nidal_0_7_7,0,289
11_nidal_0_7_7,289,302
11_nidal_0_7_7,591,340
11_nidal_0_7_7,931,358
11_nidal_0_7_7,1289,337
11_nidal_0_7_7,1625,338
11_nidal_0_7_7,1964,352
11_nidal_0_7_7,2316,336
11_nidal_0_81_81,0,347
11_nidal_0_81_81,347,336
11_nidal_0_81_81,683,321
11_nidal_0_81_81,1004,330
11_nidal_0_81_81,1334,352
11_nidal_0_81_81,1686,358
11_nidal_0_87_87,0,314
11_nidal_0_87_87,314,360
11_nidal_0_87_87,674,284
11_nidal_0_87_87,957,336
11_nidal_0_87_87,1293,295
11_nidal_0_87_87,1588,327
11_nidal_0_87_87,1915,342
11_nidal_0_87_87,2257,353
11_nidal_0_87_87,2610,342
11_nidal_0_8_8,0,353
11_nidal_0_8_8,353,345
11_nidal_0_8_8,698,334
11_nidal_0_8_8,1033,338
11_nidal_0_8_8,1371,322
11_nidal_0_8_8,1693,326
11_nidal_0_8_8,2019,325
11_nidal_0_8_8,2344,339
11_nidal_0_8_8,2683,280
11_nidal_0_95_95,0,326
11_nidal_0_95_95,326,324
11_nidal_0_95_95,650,308
11_nidal_0_95_95,958,358
11_nidal_0_95_95,1316,345
11_nidal_0_95_95,1661,333
12_zhao_0_103_103,0,326
12_zhao_0_103_103,326,349
12_zhao_0_103_103,675,306
12_zhao_0_103_103,981,236
12_zhao_0_103_103,1217,236
12_zhao_0_103_103,1453,334
12_zhao_0_103_103,1787,283
12_zhao_0_103_103,2070,240
12_zhao_0_111_111,0,282
12_zhao_0_111_111,282,360
12_zhao_0_111_111,648,280
12_zhao_0_111_111,928,337
12_zhao_0_111_111,1265,352
12_zhao_0_111_111,1617,346
12_zhao_0_1_1,0,336
12_zhao_0_1_1,336,354
12_zhao_0_1_1,690,324
12_zhao_0_1_1,1014,360
12_zhao_0_1_1,1381,235
12_zhao_0_1_1,1616,346
12_zhao_0_2_2,0,320
12_zhao_0_2_2,320,259
12_zhao_0_2_2,580,222
12_zhao_0_2_2,802,344
12_zhao_0_2_2,1146,306
12_zhao_0_2_2,1453,360
12_zhao_0_2_2,1829,353
12_zhao_0_2_2,2182,218
12_zhao_0_65_65,0,360
12_zhao_0_65_65,387,295
12_zhao_0_65_65,682,266
12_zhao_0_65_65,948,332
12_zhao_0_65_65,1280,286
12_zhao_0_65_65,1566,234
12_zhao_0_73_73,0,291
12_zhao_0_73_73,291,319
12_zhao_0_73_73,610,356
12_zhao_0_73_73,966,360
12_zhao_0_73_73,1326,296
12_zhao_0_81_81,0,293
12_zhao_0_81_81,293,320
12_zhao_0_81_81,613,350
12_zhao_0_81_81,963,359
12_zhao_0_81_81,1322,296
12_zhao_0_81_81,1617,307
12_zhao_0_81_81,1924,332
12_zhao_0_87_87,0,295
12_zhao_0_87_87,295,339
12_zhao_0_87_87,634,306
12_zhao_0_87_87,940,302
12_zhao_0_87_87,1242,351
12_zhao_0_87_87,1593,344
12_zhao_0_87_87,1936,253
12_zhao_0_87_87,2189,296
12_zhao_0_87_87,2486,214
12_zhao_0_95_95,0,301
12_zhao_0_95_95,301,338
12_zhao_0_95_95,638,278
12_zhao_0_95_95,916,265
12_zhao_0_95_95,1181,355
12_zhao_0_95_95,1536,264
13_lu_0_103_103,0,344
13_lu_0_103_103,344,271
13_lu_0_103_103,616,322
13_lu_0_103_103,938,348
13_lu_0_103_103,1286,353
13_lu_0_103_103,1639,346
13_lu_0_111_111,0,292
13_lu_0_111_111,292,316
13_lu_0_111_111,608,337
13_lu_0_111_111,945,345
13_lu_0_111_111,1290,302
13_lu_0_111_111,1592,345
13_lu_0_1_1,0,317
13_lu_0_1_1,317,306
13_lu_0_1_1,624,359
13_lu_0_1_1,983,347
13_lu_0_1_1,1330,334
13_lu_0_1_1,1664,346
13_lu_0_2_2,0,351
13_lu_0_2_2,351,347
13_lu_0_2_2,698,359
13_lu_0_2_2,1057,347
13_lu_0_2_2,1404,358
13_lu_0_2_2,1762,348
13_lu_0_65_65,0,344
13_lu_0_65_65,344,334
13_lu_0_65_65,677,351
13_lu_0_65_65,1028,318
13_lu_0_73_73,0,299
13_lu_0_73_73,299,357
13_lu_0_73_73,656,341
13_lu_0_73_73,997,353
13_lu_0_81_81,0,302
13_lu_0_81_81,302,332
13_lu_0_81_81,634,340
13_lu_0_81_81,974,326
13_lu_0_81_81,1300,326
13_lu_0_81_81,1626,345
13_lu_0_81_81,1971,249
13_lu_0_87_87,0,299
13_lu_0_87_87,299,334
13_lu_0_87_87,633,308
13_lu_0_87_87,941,307
13_lu_0_87_87,1247,356
13_lu_0_87_87,1603,347
13_lu_0_87_87,1950,268
13_lu_0_95_95,0,324
13_lu_0_95_95,324,242
13_lu_0_95_95,565,342
13_lu_0_95_95,907,349
13_lu_0_95_95,1256,289
15_carlos_0_103_103,0,291
15_carlos_0_103_103,291,327
15_carlos_0_103_103,618,327
15_carlos_0_103_103,945,356
15_carlos_0_103_103,1301,310
15_carlos_0_103_103,1611,351
15_carlos_0_103_103,1962,336
15_carlos_0_103_103,2298,342
15_carlos_0_111_111,0,350
15_carlos_0_111_111,350,336
15_carlos_0_111_111,686,330
15_carlos_0_111_111,1015,356
15_carlos_0_111_111,1371,356
15_carlos_0_111_111,1727,330
15_carlos_0_1_1,0,328
15_carlos_0_1_1,328,360
15_carlos_0_1_1,688,320
15_carlos_0_1_1,1008,333
15_carlos_0_1_1,1341,305
15_carlos_0_1_1,1646,332
15_carlos_0_1_1,1978,324
15_carlos_0_1_1,2302,313
15_carlos_0_2_2,0,323
15_carlos_0_2_2,323,359
15_carlos_0_2_2,682,341
15_carlos_0_2_2,1024,351
15_carlos_0_2_2,1375,331
15_carlos_0_65_65,0,338
15_carlos_0_65_65,338,338
15_carlos_0_65_65,676,271
15_carlos_0_65_65,947,334
15_carlos_0_65_65,1281,338
15_carlos_0_65_65,1619,339
15_carlos_0_73_73,0,351
15_carlos_0_73_73,351,335
15_carlos_0_73_73,686,296
15_carlos_0_73_73,982,344
15_carlos_0_73_73,1326,348
