file_name,start_frame,duration_frame
10_kieks_0_103_103,0,293
11_nidal_0_95_95,1661,333
12_zhao_0_103_103,0,326
13_lu_0_95_95,1256,289
15_carlos_0_95_95,1612,348
16_jorge_0_103_103,0,351
17_itoi_0_103_103,0,329
18_daiki_0_95_95,1357,359
1_wayne_0_103_103,0,274
20_li_0_95_95,1618,274
21_ayana_0_103_103,0,346
22_luqi_0_95_95,1682,268
23_hailing_0_103_103,0,302
24_kexin_0_103_103,0,347
25_goto_0_103_103,0,321
27_yingqing_0_95_95,1619,347
28_tiffnay_0_103_103,0,360
2_scott_0_95_95,1029,340
30_katya_0_103_103,0,216
3_solomon_0_95_95,1580,317
4_lawrence_0_95_95,1596,354
5_stewart_0_103_103,0,350
6_carla_0_103_103,0,350
7_sophie_0_95_95,887,353
9_miranda_0_95_95,979,338
